"Exposure","Quartile","IRR","pval","n","model","strata","outcome","baseline"
"sdbpc2_mrs_qt","2nd","0.96[0.6, 1.54]",0.867570098331771,1436,"model_2","female","inc_htn","normal"
"sex_sdbpc1_mrs_qt","2nd","1.08[0.65, 1.78]",0.775942245446355,1449,"model_1","female","inc_htn","normal"
"sex_sdbpc1_mrs_qt","2nd","1.06[0.64, 1.74]",0.822499012650548,1436,"model_2","female","inc_htn","normal"
"sex_sdbpc2_mrs_qt","2nd","1[0.69, 1.45]",0.989667219671986,1449,"model_1","female","inc_htn","normal"
"sex_sdbpc2_mrs_qt","2nd","1[0.68, 1.46]",0.98207491989309,1436,"model_2","female","inc_htn","normal"
"osa_lasso_mrs_qt","2nd","1.46[0.94, 2.27]",0.0893585641143341,1449,"model_1","female","inc_htn","normal"
"osa_lasso_mrs_qt","2nd","1.41[0.91, 2.19]",0.125736579552179,1436,"model_2","female","inc_htn","normal"
"sdbpc1_mrs_qt","3rd","1.53[0.9, 2.59]",0.114905155789489,1449,"model_1","female","inc_htn","normal"
"sdbpc1_mrs_qt","3rd","1.48[0.87, 2.5]",0.146179767188818,1436,"model_2","female","inc_htn","normal"
"sdbpc2_mrs_qt","3rd","1.12[0.74, 1.69]",0.584839797327601,1449,"model_1","female","inc_htn","normal"
"sdbpc2_mrs_qt","3rd","1.13[0.74, 1.73]",0.578816644593391,1436,"model_2","female","inc_htn","normal"
"sex_sdbpc1_mrs_qt","3rd","1.32[0.8, 2.16]",0.279674125436074,1449,"model_1","female","inc_htn","normal"
"sex_sdbpc1_mrs_qt","3rd","1.27[0.78, 2.06]",0.331062634306538,1436,"model_2","female","inc_htn","normal"
"sex_sdbpc2_mrs_qt","3rd","0.95[0.61, 1.48]",0.806728963358035,1449,"model_1","female","inc_htn","normal"
"sex_sdbpc2_mrs_qt","3rd","0.92[0.58, 1.44]",0.7040489697355,1436,"model_2","female","inc_htn","normal"
"osa_lasso_mrs_qt","3rd","1.54[0.98, 2.41]",0.0620250538735081,1449,"model_1","female","inc_htn","normal"
"osa_lasso_mrs_qt","3rd","1.53[0.97, 2.4]",0.0676312959181183,1436,"model_2","female","inc_htn","normal"
"sdbpc1_mrs_qt","4th","1.45[0.84, 2.5]",0.185057903980231,1449,"model_1","female","inc_htn","normal"
"sdbpc1_mrs_qt","4th","1.44[0.85, 2.46]",0.177480121848151,1436,"model_2","female","inc_htn","normal"
"sdbpc2_mrs_qt","4th","1.35[0.86, 2.12]",0.186118101386587,1449,"model_1","female","inc_htn","normal"
"sdbpc2_mrs_qt","4th","1.37[0.85, 2.2]",0.195622601294238,1436,"model_2","female","inc_htn","normal"
"sex_sdbpc1_mrs_qt","4th","1.54[0.92, 2.56]",0.0972699112653864,1449,"model_1","female","inc_htn","normal"
"sex_sdbpc1_mrs_qt","4th","1.5[0.93, 2.42]",0.0935830003036889,1436,"model_2","female","inc_htn","normal"
"sex_sdbpc2_mrs_qt","4th","1.13[0.72, 1.77]",0.60710494352849,1449,"model_1","female","inc_htn","normal"
"sex_sdbpc2_mrs_qt","4th","1.1[0.7, 1.73]",0.676919116558468,1436,"model_2","female","inc_htn","normal"
"osa_lasso_mrs_qt","4th","2.35[1.43, 3.87]",0.000793180298125844,1449,"model_1","female","inc_htn","normal"
"osa_lasso_mrs_qt","4th","2.29[1.42, 3.67]",0.000621620515580735,1436,"model_2","female","inc_htn","normal"
"sdbpc1_mrs_qt","2nd","1.29[0.68, 2.46]",0.433821502976778,1784,"model_1","female","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","2nd","1.31[0.68, 2.51]",0.424808653563646,1766,"model_2","female","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","2nd","1.48[0.92, 2.38]",0.109143501609615,1784,"model_1","female","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","2nd","1.44[0.9, 2.32]",0.131728442073527,1766,"model_2","female","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","2nd","1.03[0.61, 1.76]",0.906908053477537,1784,"model_1","female","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","2nd","1.04[0.61, 1.77]",0.884614256652918,1766,"model_2","female","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","2nd","1.21[0.72, 2.02]",0.474095583549773,1784,"model_1","female","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","2nd","1.22[0.73, 2.03]",0.445833956966277,1766,"model_2","female","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","2nd","1.62[1, 2.64]",0.0508910359019873,1784,"model_1","female","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","2nd","1.63[0.98, 2.71]",0.0601123054971328,1766,"model_2","female","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","3rd","1.94[1.06, 3.55]",0.0306294192311582,1784,"model_1","female","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","3rd","1.97[1.08, 3.61]",0.0267842148243318,1766,"model_2","female","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","3rd","1.55[0.91, 2.64]",0.110404568195504,1784,"model_1","female","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","3rd","1.6[0.93, 2.75]",0.0910552534701597,1766,"model_2","female","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","3rd","1.38[0.78, 2.44]",0.275204841733595,1784,"model_1","female","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","3rd","1.37[0.77, 2.42]",0.279587401895781,1766,"model_2","female","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","3rd","1.44[0.88, 2.36]",0.14595664160108,1784,"model_1","female","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","3rd","1.45[0.88, 2.37]",0.141817549315505,1766,"model_2","female","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","3rd","1.87[1.11, 3.13]",0.0179242497083057,1784,"model_1","female","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","3rd","1.84[1.1, 3.1]",0.0211634281545083,1766,"model_2","female","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","4th","2.43[1.28, 4.6]",0.00638390051281187,1784,"model_1","female","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","4th","2.41[1.29, 4.5]",0.00586350097438553,1766,"model_2","female","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","4th","1.87[1.14, 3.07]",0.0126012294430237,1784,"model_1","female","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","4th","1.93[1.18, 3.15]",0.00842564107532358,1766,"model_2","female","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","4th","1.87[1.09, 3.21]",0.0224513915990979,1784,"model_1","female","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","4th","1.86[1.09, 3.18]",0.0222309773043707,1766,"model_2","female","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","4th","2.08[1.31, 3.29]",0.00188630130473026,1784,"model_1","female","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","4th","2.14[1.34, 3.41]",0.00134798455891478,1766,"model_2","female","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","4th","2.82[1.76, 4.52]",0.0000170407878565108,1784,"model_1","female","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","4th","2.83[1.75, 4.58]",0.000024314628780041,1766,"model_2","female","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","2nd","1.23[0.71, 2.13]",0.470486418869342,939,"model_1","male","inc_htn","normal"
"sdbpc1_mrs_qt","2nd","1.21[0.69, 2.11]",0.500978122998618,924,"model_2","male","inc_htn","normal"
"sdbpc2_mrs_qt","2nd","1.37[0.71, 2.64]",0.343944202434823,939,"model_1","male","inc_htn","normal"
"sdbpc2_mrs_qt","2nd","1.33[0.69, 2.54]",0.391001422555955,924,"model_2","male","inc_htn","normal"
"sex_sdbpc1_mrs_qt","2nd","1.19[0.68, 2.06]",0.541950627653989,939,"model_1","male","inc_htn","normal"
"sex_sdbpc1_mrs_qt","2nd","1.11[0.65, 1.9]",0.698389316083313,924,"model_2","male","inc_htn","normal"
"sex_sdbpc2_mrs_qt","2nd","1.03[0.61, 1.75]",0.898286267971844,939,"model_1","male","inc_htn","normal"
"sex_sdbpc2_mrs_qt","2nd","1.13[0.68, 1.87]",0.644005071717307,924,"model_2","male","inc_htn","normal"
"osa_lasso_mrs_qt","2nd","2.15[1.16, 3.97]",0.0147597083207214,939,"model_1","male","inc_htn","normal"
"osa_lasso_mrs_qt","2nd","2.18[1.18, 4.02]",0.012529534075625,924,"model_2","male","inc_htn","normal"
"sdbpc1_mrs_qt","3rd","1.01[0.58, 1.74]",0.981238627127214,939,"model_1","male","inc_htn","normal"
"sdbpc1_mrs_qt","3rd","0.99[0.58, 1.67]",0.961765985384153,924,"model_2","male","inc_htn","normal"
"sdbpc2_mrs_qt","3rd","1.67[0.92, 3.06]",0.0940518949869548,939,"model_1","male","inc_htn","normal"
"sdbpc2_mrs_qt","3rd","1.63[0.9, 2.97]",0.106332429309554,924,"model_2","male","inc_htn","normal"
"sex_sdbpc1_mrs_qt","3rd","1.81[1.08, 3.03]",0.0241572666293461,939,"model_1","male","inc_htn","normal"
"sex_sdbpc1_mrs_qt","3rd","1.78[1.09, 2.91]",0.0211200051195436,924,"model_2","male","inc_htn","normal"
"sex_sdbpc2_mrs_qt","3rd","1.06[0.65, 1.74]",0.813032315661737,939,"model_1","male","inc_htn","normal"
"sex_sdbpc2_mrs_qt","3rd","1.07[0.66, 1.74]",0.780924357459072,924,"model_2","male","inc_htn","normal"
"osa_lasso_mrs_qt","3rd","1.97[1.06, 3.66]",0.0326942178357797,939,"model_1","male","inc_htn","normal"
"osa_lasso_mrs_qt","3rd","1.97[1.08, 3.58]",0.0265783133436231,924,"model_2","male","inc_htn","normal"
"sdbpc1_mrs_qt","4th","2.06[1.17, 3.64]",0.0122233195390551,939,"model_1","male","inc_htn","normal"
"sdbpc1_mrs_qt","4th","1.98[1.11, 3.54]",0.0202577883487019,924,"model_2","male","inc_htn","normal"
"sdbpc2_mrs_qt","4th","2.04[1.16, 3.59]",0.0128718993206156,939,"model_1","male","inc_htn","normal"
"sdbpc2_mrs_qt","4th","1.9[1.07, 3.38]",0.0281554540295384,924,"model_2","male","inc_htn","normal"
"sex_sdbpc1_mrs_qt","4th","1.55[0.89, 2.71]",0.122659614698478,939,"model_1","male","inc_htn","normal"
"sex_sdbpc1_mrs_qt","4th","1.58[0.92, 2.7]",0.0966265342099934,924,"model_2","male","inc_htn","normal"
"sex_sdbpc2_mrs_qt","4th","1.37[0.88, 2.14]",0.159001073980202,939,"model_1","male","inc_htn","normal"
"sex_sdbpc2_mrs_qt","4th","1.34[0.85, 2.11]",0.201259913061843,924,"model_2","male","inc_htn","normal"
"osa_lasso_mrs_qt","4th","3.43[1.94, 6.05]",0.0000221477581647288,939,"model_1","male","inc_htn","normal"
"osa_lasso_mrs_qt","4th","3.46[1.97, 6.07]",0.0000153452568026032,924,"model_2","male","inc_htn","normal"
"sdbpc1_mrs_qt","2nd","1.1[0.67, 1.83]",0.697930653984265,1124,"model_1","male","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","2nd","1.12[0.68, 1.83]",0.66675887898864,1108,"model_2","male","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","2nd","1.17[0.55, 2.47]",0.679482492878411,1124,"model_1","male","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","2nd","1.14[0.57, 2.31]",0.7090085121926,1108,"model_2","male","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","2nd","0.67[0.41, 1.12]",0.127328054842646,1124,"model_1","male","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","2nd","0.68[0.41, 1.11]",0.121107397878865,1108,"model_2","male","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","2nd","1.47[0.82, 2.66]",0.196675856558683,1124,"model_1","male","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","2nd","1.41[0.78, 2.54]",0.259556959754907,1108,"model_2","male","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","2nd","2.23[1.17, 4.25]",0.0153896337056284,1124,"model_1","male","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","2nd","2.3[1.2, 4.42]",0.0118837823341158,1108,"model_2","male","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","3rd","1.09[0.65, 1.83]",0.732189635393743,1124,"model_1","male","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","3rd","1.15[0.69, 1.89]",0.594961684298853,1108,"model_2","male","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","3rd","1.33[0.68, 2.6]",0.406908305429513,1124,"model_1","male","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","3rd","1.33[0.71, 2.49]",0.366765435077676,1108,"model_2","male","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","3rd","0.86[0.51, 1.43]",0.550463181743067,1124,"model_1","male","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","3rd","0.91[0.55, 1.5]",0.705941568700678,1108,"model_2","male","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","3rd","1.41[0.8, 2.48]",0.236270614076721,1124,"model_1","male","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","3rd","1.37[0.79, 2.38]",0.259626215211102,1108,"model_2","male","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","3rd","3.11[1.62, 5.95]",0.000630295951998044,1124,"model_1","male","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","3rd","3.08[1.61, 5.88]",0.000672771168707004,1108,"model_2","male","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","4th","1.53[0.92, 2.55]",0.0982745149571717,1124,"model_1","male","inc_dm","norm+preDM"
"sdbpc1_mrs_qt","4th","1.51[0.92, 2.48]",0.103917159635231,1108,"model_2","male","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","4th","1.74[0.9, 3.37]",0.101248007097996,1124,"model_1","male","inc_dm","norm+preDM"
"sdbpc2_mrs_qt","4th","1.74[0.93, 3.24]",0.081080094234778,1108,"model_2","male","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","4th","1.19[0.75, 1.88]",0.460876082874422,1124,"model_1","male","inc_dm","norm+preDM"
"sex_sdbpc1_mrs_qt","4th","1.16[0.74, 1.83]",0.522548575004255,1108,"model_2","male","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","4th","2.47[1.4, 4.36]",0.00174793879848044,1124,"model_1","male","inc_dm","norm+preDM"
"sex_sdbpc2_mrs_qt","4th","2.35[1.37, 4.04]",0.00194708874510911,1108,"model_2","male","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","4th","4.38[2.35, 8.15]",0.00000319599168910686,1124,"model_1","male","inc_dm","norm+preDM"
"osa_lasso_mrs_qt","4th","4.08[2.19, 7.62]",0.00000978277088809543,1108,"model_2","male","inc_dm","norm+preDM"
