"trait","model","index","beta","se","lower95","upper95","n","p_val","outcome","strata","p_label","batch"
"sdbpc1_mrs","mdl1_both_covar","5",-0.0641603215591041,0.037,-0.136680321559104,0.00835967844089593,1874,0.0868994574928878,"sdb_pc2","female","","batch_1"
"sdbpc1_mrs","mdl2_both_covar","6",-0.0623264230082212,0.037,-0.134846423008221,0.0101935769917788,1854,0.0877967118661059,"sdb_pc2","female","","batch_1"
"sex_sdbpc1_mrs","mdl1_both_covar","7",-0.0807518526561707,0.032,-0.143471852656171,-0.0180318526561707,1874,0.0107656819231973,"sdb_pc2","female","*","batch_1"
"sex_sdbpc1_mrs","mdl2_both_covar","8",-0.0711486698040731,0.031,-0.131908669804073,-0.0103886698040731,1854,0.0202962472440355,"sdb_pc2","female","*","batch_1"
"sex_sdbpc2_mrs","mdl1_both_covar","9",0.129204175645022,0.033,0.0645241756450222,0.193884175645022,1874,0.000111732471611035,"sdb_pc2","female","***","batch_1"
"sex_sdbpc2_mrs","mdl2_both_covar","10",0.104796061254012,0.033,0.0401160612540119,0.169476061254012,1854,0.00170153313076626,"sdb_pc2","female","**","batch_1"
"sdbpc2_mrs","mdl1_both_covar","11",0.241517339360868,0.039,0.165077339360868,0.317957339360868,1874,0.000000000771176619848543,"sdb_pc2","female","***","batch_1"
"sdbpc2_mrs","mdl2_both_covar","12",0.228845442995968,0.038,0.154365442995968,0.303325442995968,1854,0.00000000120458353873888,"sdb_pc2","female","***","batch_1"
"osa_lasso_mrs","mdl1_both_covar","13",-0.0106803263191364,0.038,-0.0851603263191364,0.0637996736808636,1874,0.779044369729131,"sdb_pc2","female","","batch_1"
"osa_lasso_mrs","mdl2_both_covar","14",-0.00959550095414611,0.037,-0.0821155009541461,0.0629244990458539,1854,0.795789691845871,"sdb_pc2","female","","batch_1"
"REI3","mdl1_both_covar","1",0.425492697030702,0.032,0.362772697030702,0.488212697030702,1425,0.00000000000000000000000000000000000000353284726157108,"sdb_pc1","male","***","batch_1"
"REI3","mdl2_both_covar","2",0.422613123204066,0.032,0.359893123204066,0.485333123204066,1402,0.00000000000000000000000000000000000000296559980203408,"sdb_pc1","male","***","batch_1"
"log_HB","mdl1_both_covar","3",0.796557679266043,0.047,0.704437679266043,0.888677679266043,1425,0.0000000000000000000000000000000000000000000000000000000000000000143490694631048,"sdb_pc1","male","***","batch_1"
"log_HB","mdl2_both_covar","4",0.791489831155457,0.047,0.699369831155457,0.883609831155457,1402,0.000000000000000000000000000000000000000000000000000000000000000379741486473099,"sdb_pc1","male","***","batch_1"
"sdbpc1_mrs","mdl1_both_covar","5",0.262341707667993,0.037,0.189821707667993,0.334861707667993,1425,0.00000000000144036862514331,"sdb_pc1","male","***","batch_1"
"sdbpc1_mrs","mdl2_both_covar","6",0.259326361451713,0.036,0.188766361451713,0.329886361451713,1402,0.000000000000972462901025397,"sdb_pc1","male","***","batch_1"
"sex_sdbpc1_mrs","mdl1_both_covar","7",0.316522118314988,0.03,0.257722118314988,0.375322118314988,1425,0.0000000000000000000000000281923527588552,"sdb_pc1","male","***","batch_1"
"sex_sdbpc1_mrs","mdl2_both_covar","8",0.315724960396775,0.029,0.258884960396775,0.372564960396775,1402,0.000000000000000000000000000850402308038185,"sdb_pc1","male","***","batch_1"
"sex_sdbpc2_mrs","mdl1_both_covar","9",0.0866212435131815,0.031,0.0258612435131815,0.147381243513181,1425,0.00528536478666891,"sdb_pc1","male","**","batch_1"
"sex_sdbpc2_mrs","mdl2_both_covar","10",0.0873178129284354,0.031,0.0265578129284354,0.148077812928435,1402,0.00537981677241536,"sdb_pc1","male","**","batch_1"
"sdbpc2_mrs","mdl1_both_covar","11",0.0711074292899115,0.037,-0.00141257071008855,0.143627429289911,1425,0.0574313575921706,"sdb_pc1","male","","batch_1"
"sdbpc2_mrs","mdl2_both_covar","12",0.0621381862864313,0.038,-0.0123418137135687,0.136618186286431,1402,0.103506484247768,"sdb_pc1","male","","batch_1"
"osa_lasso_mrs","mdl1_both_covar","13",0.0706484427582571,0.033,0.00596844275825707,0.135328442758257,1425,0.0321980225918692,"sdb_pc1","male","*","batch_1"
"osa_lasso_mrs","mdl2_both_covar","14",0.0749535005583752,0.033,0.0102735005583752,0.139633500558375,1402,0.0234776230154374,"sdb_pc1","male","*","batch_1"
"REI3","mdl1_both_covar","1",0.168761542308563,0.019,0.131521542308563,0.206001542308563,1425,0.000000000000000000291704654279548,"sdb_pc2","male","***","batch_1"
"REI3","mdl2_both_covar","2",0.166562870776392,0.019,0.129322870776392,0.203802870776392,1402,0.00000000000000000489289897139697,"sdb_pc2","male","***","batch_1"
"log_HB","mdl1_both_covar","3",-0.217887151022741,0.049,-0.313927151022741,-0.121847151022741,1425,0.0000106063932531828,"sdb_pc2","male","***","batch_1"
"log_HB","mdl2_both_covar","4",-0.22127110767151,0.05,-0.31927110767151,-0.12327110767151,1402,0.00000984335101936377,"sdb_pc2","male","***","batch_1"
"sdbpc1_mrs","mdl1_both_covar","5",0.0527166839878012,0.031,-0.00804331601219881,0.113476683987801,1425,0.0934763594525459,"sdb_pc2","male","","batch_1"
"sdbpc1_mrs","mdl2_both_covar","6",0.044862163640013,0.033,-0.019817836359987,0.109542163640013,1402,0.180210230988646,"sdb_pc2","male","","batch_1"
"sex_sdbpc1_mrs","mdl1_both_covar","7",0.0251874210826801,0.031,-0.0355725789173199,0.0859474210826801,1425,0.42025490943784,"sdb_pc2","male","","batch_1"
"sex_sdbpc1_mrs","mdl2_both_covar","8",0.0171828707521856,0.034,-0.0494571292478144,0.0838228707521856,1402,0.608953026369743,"sdb_pc2","male","","batch_1"
"sex_sdbpc2_mrs","mdl1_both_covar","9",0.231797713859507,0.033,0.167117713859507,0.296477713859507,1425,0.00000000000277374088102359,"sdb_pc2","male","***","batch_1"
"sex_sdbpc2_mrs","mdl2_both_covar","10",0.223556155318514,0.032,0.160836155318514,0.286276155318514,1402,0.00000000000438011935597787,"sdb_pc2","male","***","batch_1"
"sdbpc2_mrs","mdl1_both_covar","11",0.225752132549034,0.029,0.168912132549034,0.282592132549033,1425,0.000000000000011162061482866,"sdb_pc2","male","***","batch_1"
"sdbpc2_mrs","mdl2_both_covar","12",0.224785929632025,0.028,0.169905929632025,0.279665929632025,1402,0.00000000000000234896602185326,"sdb_pc2","male","***","batch_1"
"osa_lasso_mrs","mdl1_both_covar","13",0.0470475737423576,0.033,-0.0176324262576424,0.111727573742358,1425,0.149203720104616,"sdb_pc2","male","","batch_1"
"osa_lasso_mrs","mdl2_both_covar","14",0.0393409717543841,0.034,-0.027299028245616,0.105980971754384,1402,0.241741399771137,"sdb_pc2","male","","batch_1"
"REI3","mdl1_both_covar","1",0.510006162297156,0.038,0.435526162297156,0.584486162297156,1522,0.000000000000000000000000000000000000000325501888174509,"sdb_pc1","both","***","batch_2"
"REI3","mdl2_both_covar","2",0.511041091356321,0.038,0.436561091356321,0.585521091356321,1500,0.0000000000000000000000000000000000000000653539889238294,"sdb_pc1","both","***","batch_2"
"log_HB","mdl1_both_covar","3",0.847429874595653,0.031,0.786669874595653,0.908189874595653,1522,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000996371080436105,"sdb_pc1","both","***","batch_2"
"log_HB","mdl2_both_covar","4",0.84594695060572,0.032,0.78322695060572,0.90866695060572,1500,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110784035111792,"sdb_pc1","both","***","batch_2"
"sdbpc1_mrs","mdl1_both_covar","5",0.153683214209018,0.04,0.0752832142090182,0.232083214209018,1522,0.000118365475322791,"sdb_pc1","both","***","batch_2"
"sdbpc1_mrs","mdl2_both_covar","6",0.147211097826353,0.04,0.0688110978263534,0.225611097826353,1500,0.000228634491203806,"sdb_pc1","both","***","batch_2"
"sex_sdbpc1_mrs","mdl1_both_covar","7",0.103136086510138,0.029,0.0462960865101384,0.159976086510138,1522,0.000451635846957413,"sdb_pc1","both","***","batch_2"
"sex_sdbpc1_mrs","mdl2_both_covar","8",0.0990968468510253,0.029,0.0422568468510253,0.155936846851025,1500,0.000682277614284188,"sdb_pc1","both","***","batch_2"
"sex_sdbpc2_mrs","mdl1_both_covar","9",0.100098416659574,0.026,0.0491384166595743,0.151058416659574,1522,0.000144882671637942,"sdb_pc1","both","***","batch_2"
"sex_sdbpc2_mrs","mdl2_both_covar","10",0.107658594156209,0.026,0.056698594156209,0.158618594156209,1500,0.0000453382872761374,"sdb_pc1","both","***","batch_2"
"sdbpc2_mrs","mdl1_both_covar","11",0.115879168890282,0.032,0.0531591688902821,0.178599168890282,1522,0.00027345066954581,"sdb_pc1","both","***","batch_2"
"sdbpc2_mrs","mdl2_both_covar","12",0.127189372290418,0.031,0.0664293722904178,0.187949372290418,1500,0.0000494508510298189,"sdb_pc1","both","***","batch_2"
